"subject" "activity" "variable" "mean(value)"
"subject28" "walking" "tBodyAccJerkMeanY" 0.0226486602722222
"subject28" "walking_downstairs" "tBodyAccJerkMeanY" 0.0143450903413043
"subject28" "walking_upstairs" "tBodyAccJerkMeanY" 0.0222985408245098
"subject29" "standing" "tBodyAccJerkMeanY" 0.0115104978664615
"subject29" "sitting" "tBodyAccJerkMeanY" 0.00598531404666667
"subject29" "laying" "tBodyAccJerkMeanY" 0.0116912059556522
"subject29" "walking" "tBodyAccJerkMeanY" 0.0223870454150943
"subject29" "walking_downstairs" "tBodyAccJerkMeanY" 0.000621016968750005
"subject29" "walking_upstairs" "tBodyAccJerkMeanY" -0.000689019191836735
"subject30" "standing" "tBodyAccJerkMeanY" 0.0120860416340678
"subject30" "sitting" "tBodyAccJerkMeanY" 0.00975692523887097
"subject30" "laying" "tBodyAccJerkMeanY" 0.0107680190087143
"subject30" "walking" "tBodyAccJerkMeanY" 0.0219656545
"subject30" "walking_downstairs" "tBodyAccJerkMeanY" -0.00756110754193549
"subject30" "walking_upstairs" "tBodyAccJerkMeanY" -0.00358719228769231
"subject2" "standing" "tBodyAccJerkMeanZ" -0.00837158846722222
"subject2" "sitting" "tBodyAccJerkMeanZ" 0.00760546929869565
"subject2" "laying" "tBodyAccJerkMeanZ" -0.00180264895625
"subject2" "walking" "tBodyAccJerkMeanZ" 0.0078953370661017
"subject2" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0209351677765957
"subject2" "walking_upstairs" "tBodyAccJerkMeanZ" 0.01948143925
"subject4" "standing" "tBodyAccJerkMeanZ" -0.0211889890567857
"subject4" "sitting" "tBodyAccJerkMeanZ" -0.0121499951596
"subject4" "laying" "tBodyAccJerkMeanZ" -0.00641054328740741
"subject4" "walking" "tBodyAccJerkMeanZ" -0.000767679338333334
"subject4" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00729137766444445
"subject4" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00340280836730769
"subject9" "standing" "tBodyAccJerkMeanZ" -0.004700785502
"subject9" "sitting" "tBodyAccJerkMeanZ" -0.008674672651
"subject9" "laying" "tBodyAccJerkMeanZ" -0.0070536778584
"subject9" "walking" "tBodyAccJerkMeanZ" 0.00414762740192308
"subject9" "walking_downstairs" "tBodyAccJerkMeanZ" 0.00262568854761905
"subject9" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00766046602367347
"subject10" "standing" "tBodyAccJerkMeanZ" -0.00485841031477273
"subject10" "sitting" "tBodyAccJerkMeanZ" -0.00499566427666667
"subject10" "laying" "tBodyAccJerkMeanZ" 0.00716689586275862
"subject10" "walking" "tBodyAccJerkMeanZ" -0.0162953195396226
"subject10" "walking_downstairs" "tBodyAccJerkMeanZ" 0.000152617173684209
"subject10" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0513375831851064
"subject12" "standing" "tBodyAccJerkMeanZ" -0.00788131384131148
"subject12" "sitting" "tBodyAccJerkMeanZ" -0.0020457599227451
"subject12" "laying" "tBodyAccJerkMeanZ" -0.0043714837772
"subject12" "walking" "tBodyAccJerkMeanZ" 0.005025870328
"subject12" "walking_downstairs" "tBodyAccJerkMeanZ" 0.00485262425869565
"subject12" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00906662793461539
"subject13" "standing" "tBodyAccJerkMeanZ" -0.000704979340543859
"subject13" "sitting" "tBodyAccJerkMeanZ" -0.0232397245106122
"subject13" "laying" "tBodyAccJerkMeanZ" -0.00988389709596774
"subject13" "walking" "tBodyAccJerkMeanZ" 0.00597249011754386
"subject13" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0252977670276596
"subject13" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0254126299290909
"subject18" "standing" "tBodyAccJerkMeanZ" -0.00181640480191781
"subject18" "sitting" "tBodyAccJerkMeanZ" 0.00278757042058246
"subject18" "laying" "tBodyAccJerkMeanZ" -0.00121344813430769
"subject18" "walking" "tBodyAccJerkMeanZ" 0.010685091
"subject18" "walking_downstairs" "tBodyAccJerkMeanZ" -0.01417699182
"subject18" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0093589662862069
"subject20" "standing" "tBodyAccJerkMeanZ" -0.00613681937487671
"subject20" "sitting" "tBodyAccJerkMeanZ" 0.00160134859924242
"subject20" "laying" "tBodyAccJerkMeanZ" -0.00309891846569118
"subject20" "walking" "tBodyAccJerkMeanZ" 0.00634457223529412
"subject20" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00253482149777778
"subject20" "walking_upstairs" "tBodyAccJerkMeanZ" -0.024542099304902
"subject24" "standing" "tBodyAccJerkMeanZ" -0.00358774904913043
"subject24" "sitting" "tBodyAccJerkMeanZ" -0.00113300171426471
"subject24" "laying" "tBodyAccJerkMeanZ" -0.00589225849902778
"subject24" "walking" "tBodyAccJerkMeanZ" -0.0116401387758621
"subject24" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00846915857363636
"subject24" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0132353651798305
"subject1" "standing" "tBodyAccJerkMeanZ" -0.00368524954709434
"subject1" "sitting" "tBodyAccJerkMeanZ" -0.00336779235021277
"subject1" "laying" "tBodyAccJerkMeanZ" 0.010834236361
"subject1" "walking" "tBodyAccJerkMeanZ" -0.00416840617789474
"subject1" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0109719730183673
"subject1" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0455625449113208
"subject3" "standing" "tBodyAccJerkMeanZ" -0.00807177934114754
"subject3" "sitting" "tBodyAccJerkMeanZ" -0.00423348373557692
"subject3" "laying" "tBodyAccJerkMeanZ" -0.00435625874355645
"subject3" "walking" "tBodyAccJerkMeanZ" -0.00562264594827586
"subject3" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00202727978142857
"subject3" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0208205538101695
"subject5" "standing" "tBodyAccJerkMeanZ" -0.0122812220569643
"subject5" "sitting" "tBodyAccJerkMeanZ" 0.00338609594827273
"subject5" "laying" "tBodyAccJerkMeanZ" -0.00304067159653846
"subject5" "walking" "tBodyAccJerkMeanZ" 8.32159351785732e-05
"subject5" "walking_downstairs" "tBodyAccJerkMeanZ" 0.0213397664446808
"subject5" "walking_upstairs" "tBodyAccJerkMeanZ" -0.025590953282766
"subject6" "standing" "tBodyAccJerkMeanZ" -0.00481712245438596
"subject6" "sitting" "tBodyAccJerkMeanZ" 0.00623727782090909
"subject6" "laying" "tBodyAccJerkMeanZ" 0.00328817288070175
"subject6" "walking" "tBodyAccJerkMeanZ" -0.00738931200701754
"subject6" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00932470617291667
"subject6" "walking_upstairs" "tBodyAccJerkMeanZ" -0.00237816579411765
"subject7" "standing" "tBodyAccJerkMeanZ" -0.0108420294035849
"subject7" "sitting" "tBodyAccJerkMeanZ" 0.0162004141964583
"subject7" "laying" "tBodyAccJerkMeanZ" -0.0131653918205769
"subject7" "walking" "tBodyAccJerkMeanZ" -0.0210398551649123
"subject7" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0160390392510638
"subject7" "walking_upstairs" "tBodyAccJerkMeanZ" -7.4519666666666e-05
"subject8" "standing" "tBodyAccJerkMeanZ" 0.00322153267648148
"subject8" "sitting" "tBodyAccJerkMeanZ" -0.0106808920069565
"subject8" "laying" "tBodyAccJerkMeanZ" -0.0169218791344444
"subject8" "walking" "tBodyAccJerkMeanZ" -0.000673798876875
"subject8" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0394356157631579
"subject8" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0674583919268293
"subject11" "standing" "tBodyAccJerkMeanZ" -0.00074591623212766
"subject11" "sitting" "tBodyAccJerkMeanZ" 0.00833400761716981
"subject11" "laying" "tBodyAccJerkMeanZ" 0.00277690502070175
"subject11" "walking" "tBodyAccJerkMeanZ" -0.013364827779661
"subject11" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0225208905847826
"subject11" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0151463896833333
"subject14" "standing" "tBodyAccJerkMeanZ" -0.00720777760485
"subject14" "sitting" "tBodyAccJerkMeanZ" -0.0105744513096296
"subject14" "laying" "tBodyAccJerkMeanZ" -0.0323601505045098
"subject14" "walking" "tBodyAccJerkMeanZ" 0.0199723036949153
"subject14" "walking_downstairs" "tBodyAccJerkMeanZ" 0.0104952601188889
"subject14" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00344199486481481
"subject15" "standing" "tBodyAccJerkMeanZ" -0.00658737093471698
"subject15" "sitting" "tBodyAccJerkMeanZ" -0.00237207545345763
"subject15" "laying" "tBodyAccJerkMeanZ" -0.00443927981861111
"subject15" "walking" "tBodyAccJerkMeanZ" 0.000658706162574074
"subject15" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0100212901547619
"subject15" "walking_upstairs" "tBodyAccJerkMeanZ" -0.00525879898958333
"subject16" "standing" "tBodyAccJerkMeanZ" -0.00476310557910256
"subject16" "sitting" "tBodyAccJerkMeanZ" -0.0115030575052174
"subject16" "laying" "tBodyAccJerkMeanZ" -0.00154105089764286
"subject16" "walking" "tBodyAccJerkMeanZ" 0.00360803282352941
"subject16" "walking_downstairs" "tBodyAccJerkMeanZ" -0.029312256293617
"subject16" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0380533591627451
"subject17" "standing" "tBodyAccJerkMeanZ" -0.00403599594166667
"subject17" "sitting" "tBodyAccJerkMeanZ" -0.0015544841534375
"subject17" "laying" "tBodyAccJerkMeanZ" -0.000143542544507042
"subject17" "walking" "tBodyAccJerkMeanZ" 0.0243753334442623
"subject17" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00939838078195652
"subject17" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00759533846458334
"subject19" "standing" "tBodyAccJerkMeanZ" 0.00129216333878082
"subject19" "sitting" "tBodyAccJerkMeanZ" 0.00173106800213699
"subject19" "laying" "tBodyAccJerkMeanZ" -0.000988690855325301
"subject19" "walking" "tBodyAccJerkMeanZ" -0.0327528722288462
"subject19" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00955202497435897
"subject19" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0316681980575
"subject21" "standing" "tBodyAccJerkMeanZ" -0.00332093673865168
"subject21" "sitting" "tBodyAccJerkMeanZ" -0.000175352166235294
"subject21" "laying" "tBodyAccJerkMeanZ" -0.0139053438591111
"subject21" "walking" "tBodyAccJerkMeanZ" -0.0101813421307692
"subject21" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0125551085533333
"subject21" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0360115472978723
"subject22" "standing" "tBodyAccJerkMeanZ" -0.00626291653857143
"subject22" "sitting" "tBodyAccJerkMeanZ" -0.0126852481958065
"subject22" "laying" "tBodyAccJerkMeanZ" -0.00467438744166667
"subject22" "walking" "tBodyAccJerkMeanZ" 0.00443691445434783
"subject22" "walking_downstairs" "tBodyAccJerkMeanZ" 0.0112499015
"subject22" "walking_upstairs" "tBodyAccJerkMeanZ" -0.033616970907381
"subject23" "standing" "tBodyAccJerkMeanZ" -0.00529260911370588
"subject23" "sitting" "tBodyAccJerkMeanZ" -0.00148823351367647
"subject23" "laying" "tBodyAccJerkMeanZ" -0.00628235060277778
"subject23" "walking" "tBodyAccJerkMeanZ" -0.00190810641525424
"subject23" "walking_downstairs" "tBodyAccJerkMeanZ" -0.000982717101851849
"subject23" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0159234167843137
"subject25" "standing" "tBodyAccJerkMeanZ" -0.00622808791433784
"subject25" "sitting" "tBodyAccJerkMeanZ" 0.00210760835861538
"subject25" "laying" "tBodyAccJerkMeanZ" -0.0307179435315068
"subject25" "walking" "tBodyAccJerkMeanZ" -0.00335098680675676
"subject25" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0113348791672414
"subject25" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0116906813498462
"subject26" "standing" "tBodyAccJerkMeanZ" -0.00219497782824324
"subject26" "sitting" "tBodyAccJerkMeanZ" -0.00780237981320513
"subject26" "laying" "tBodyAccJerkMeanZ" -0.00614755098663158
"subject26" "walking" "tBodyAccJerkMeanZ" -0.00618305784355932
"subject26" "walking_downstairs" "tBodyAccJerkMeanZ" -0.01189114264
"subject26" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0117089275472727
"subject27" "standing" "tBodyAccJerkMeanZ" -0.00137950299425
"subject27" "sitting" "tBodyAccJerkMeanZ" -0.00611285425957143
"subject27" "laying" "tBodyAccJerkMeanZ" -0.000685549292837838
"subject27" "walking" "tBodyAccJerkMeanZ" -0.020752327245614
"subject27" "walking_downstairs" "tBodyAccJerkMeanZ" -0.00985034750909091
"subject27" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0067467910745098
"subject28" "standing" "tBodyAccJerkMeanZ" -0.00267810077607595
"subject28" "sitting" "tBodyAccJerkMeanZ" 0.000257854017638888
"subject28" "laying" "tBodyAccJerkMeanZ" 0.006009719386425
"subject28" "walking" "tBodyAccJerkMeanZ" -0.00762915201666667
"subject28" "walking_downstairs" "tBodyAccJerkMeanZ" 0.00123950141304348
"subject28" "walking_upstairs" "tBodyAccJerkMeanZ" 0.00749081657058823
"subject29" "standing" "tBodyAccJerkMeanZ" 0.000332894985246154
"subject29" "sitting" "tBodyAccJerkMeanZ" 0.003167700952
"subject29" "laying" "tBodyAccJerkMeanZ" 0.00241542784130435
"subject29" "walking" "tBodyAccJerkMeanZ" 0.00941547304716981
"subject29" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0140642983104167
"subject29" "walking_upstairs" "tBodyAccJerkMeanZ" -0.0290713871612245
"subject30" "standing" "tBodyAccJerkMeanZ" 0.00190841458130508
"subject30" "sitting" "tBodyAccJerkMeanZ" -0.00278161828080645
"subject30" "laying" "tBodyAccJerkMeanZ" -0.000374189681428571
"subject30" "walking" "tBodyAccJerkMeanZ" -0.00739534236
"subject30" "walking_downstairs" "tBodyAccJerkMeanZ" -0.0118301423032258
"subject30" "walking_upstairs" "tBodyAccJerkMeanZ" 0.0161506198923077
"subject2" "standing" "tBodyAccJerkStdX" -0.981085715555555
"subject2" "sitting" "tBodyAccJerkStdX" -0.988055854130435
"subject2" "laying" "tBodyAccJerkStdX" -0.98587216875
"subject2" "walking" "tBodyAccJerkStdX" -0.277530462620339
"subject2" "walking_downstairs" "tBodyAccJerkStdX" 0.147249143238298
"subject2" "walking_upstairs" "tBodyAccJerkStdX" -0.276121886479167
"subject4" "standing" "tBodyAccJerkStdX" -0.972586541964286
"subject4" "sitting" "tBodyAccJerkStdX" -0.9767421962
"subject4" "laying" "tBodyAccJerkStdX" -0.978302781111111
"subject4" "walking" "tBodyAccJerkStdX" -0.297042612533333
"subject4" "walking_downstairs" "tBodyAccJerkStdX" -0.145759708684667
"subject4" "walking_upstairs" "tBodyAccJerkStdX" -0.380488027307692
"subject9" "standing" "tBodyAccJerkStdX" -0.969973398888889
"subject9" "sitting" "tBodyAccJerkStdX" -0.9645358564
"subject9" "laying" "tBodyAccJerkStdX" -0.9647404702
"subject9" "walking" "tBodyAccJerkStdX" -0.206733787961538
"subject9" "walking_downstairs" "tBodyAccJerkStdX" 0.017623342197619
"subject9" "walking_upstairs" "tBodyAccJerkStdX" -0.335291644693878
"subject10" "standing" "tBodyAccJerkStdX" -0.964311490454545
"subject10" "sitting" "tBodyAccJerkStdX" -0.988946414074074
"subject10" "laying" "tBodyAccJerkStdX" -0.978007466724138
"subject10" "walking" "tBodyAccJerkStdX" -0.0521991013207547
"subject10" "walking_downstairs" "tBodyAccJerkStdX" 0.223275806105263
"subject10" "walking_upstairs" "tBodyAccJerkStdX" -0.187220175510638
"subject12" "standing" "tBodyAccJerkStdX" -0.972440195081967
"subject12" "sitting" "tBodyAccJerkStdX" -0.976494200784314
"subject12" "laying" "tBodyAccJerkStdX" -0.969276283333333
"subject12" "walking" "tBodyAccJerkStdX" -0.01350661106
"subject12" "walking_downstairs" "tBodyAccJerkStdX" 0.00631914373913043
"subject12" "walking_upstairs" "tBodyAccJerkStdX" -0.359856972115385
"subject13" "standing" "tBodyAccJerkStdX" -0.987636104210526
"subject13" "sitting" "tBodyAccJerkStdX" -0.992827264081633
"subject13" "laying" "tBodyAccJerkStdX" -0.98541995
"subject13" "walking" "tBodyAccJerkStdX" -0.220910068015789
"subject13" "walking_downstairs" "tBodyAccJerkStdX" -0.0740908045319149
"subject13" "walking_upstairs" "tBodyAccJerkStdX" -0.487325539818182
"subject18" "standing" "tBodyAccJerkStdX" -0.989436673835617
"subject18" "sitting" "tBodyAccJerkStdX" -0.991624662105263
"subject18" "laying" "tBodyAccJerkStdX" -0.985921071076923
"subject18" "walking" "tBodyAccJerkStdX" -0.368056913928571
"subject18" "walking_downstairs" "tBodyAccJerkStdX" -0.387223932363636
"subject18" "walking_upstairs" "tBodyAccJerkStdX" -0.563202134655172
"subject20" "standing" "tBodyAccJerkStdX" -0.959528332191781
"subject20" "sitting" "tBodyAccJerkStdX" -0.982078229242424
"subject20" "laying" "tBodyAccJerkStdX" -0.984270728235294
"subject20" "walking" "tBodyAccJerkStdX" -0.090645041854902
"subject20" "walking_downstairs" "tBodyAccJerkStdX" -0.135699627468889
"subject20" "walking_upstairs" "tBodyAccJerkStdX" -0.185695388078431
"subject24" "standing" "tBodyAccJerkStdX" -0.980573836811594
"subject24" "sitting" "tBodyAccJerkStdX" -0.988564382205882
"subject24" "laying" "tBodyAccJerkStdX" -0.98636543375
"subject24" "walking" "tBodyAccJerkStdX" -0.485863255344828
"subject24" "walking_downstairs" "tBodyAccJerkStdX" -0.337218894
"subject24" "walking_upstairs" "tBodyAccJerkStdX" -0.49876467220339
"subject1" "standing" "tBodyAccJerkStdX" -0.994604542264151
"subject1" "sitting" "tBodyAccJerkStdX" -0.986430711276596
"subject1" "laying" "tBodyAccJerkStdX" -0.958482112
"subject1" "walking" "tBodyAccJerkStdX" -0.113615602435789
"subject1" "walking_downstairs" "tBodyAccJerkStdX" -0.012283860544898
"subject1" "walking_upstairs" "tBodyAccJerkStdX" -0.446843887735849
"subject3" "standing" "tBodyAccJerkStdX" -0.957086489344262
"subject3" "sitting" "tBodyAccJerkStdX" -0.974467390384615
"subject3" "laying" "tBodyAccJerkStdX" -0.98087931483871
"subject3" "walking" "tBodyAccJerkStdX" -0.26867964387931
"subject3" "walking_downstairs" "tBodyAccJerkStdX" -0.0858010042244898
"subject3" "walking_upstairs" "tBodyAccJerkStdX" -0.458364616949153
"subject5" "standing" "tBodyAccJerkStdX" -0.962647080178571
"subject5" "sitting" "tBodyAccJerkStdX" -0.975204850227273
"subject5" "laying" "tBodyAccJerkStdX" -0.983307862115385
"subject5" "walking" "tBodyAccJerkStdX" -0.302891024625
"subject5" "walking_downstairs" "tBodyAccJerkStdX" 0.0322415501638298
"subject5" "walking_upstairs" "tBodyAccJerkStdX" -0.223896564340426
"subject6" "standing" "tBodyAccJerkStdX" -0.973132635789474
"subject6" "sitting" "tBodyAccJerkStdX" -0.969929476363636
"subject6" "laying" "tBodyAccJerkStdX" -0.966341054736842
"subject6" "walking" "tBodyAccJerkStdX" -0.132784766936842
"subject6" "walking_downstairs" "tBodyAccJerkStdX" 0.165271070858333
"subject6" "walking_upstairs" "tBodyAccJerkStdX" -0.180301156098039
"subject7" "standing" "tBodyAccJerkStdX" -0.976403544716981
"subject7" "sitting" "tBodyAccJerkStdX" -0.982158098125
"subject7" "laying" "tBodyAccJerkStdX" -0.980977756153846
"subject7" "walking" "tBodyAccJerkStdX" -0.346026226140351
"subject7" "walking_downstairs" "tBodyAccJerkStdX" 0.0285033927287234
"subject7" "walking_upstairs" "tBodyAccJerkStdX" -0.415153115882353
"subject8" "standing" "tBodyAccJerkStdX" -0.989198879814815
"subject8" "sitting" "tBodyAccJerkStdX" -0.985188753695652
"subject8" "laying" "tBodyAccJerkStdX" -0.973253042222222
"subject8" "walking" "tBodyAccJerkStdX" -0.2586886278125
"subject8" "walking_downstairs" "tBodyAccJerkStdX" 0.250143724521053
"subject8" "walking_upstairs" "tBodyAccJerkStdX" -0.186618895268293
"subject11" "standing" "tBodyAccJerkStdX" -0.992527404255319
"subject11" "sitting" "tBodyAccJerkStdX" -0.980335163584906
"subject11" "laying" "tBodyAccJerkStdX" -0.985259108596491
"subject11" "walking" "tBodyAccJerkStdX" -0.428516343559322
"subject11" "walking_downstairs" "tBodyAccJerkStdX" -0.0834212653347826
"subject11" "walking_upstairs" "tBodyAccJerkStdX" -0.452961683518519
"subject14" "standing" "tBodyAccJerkStdX" -0.978248526
"subject14" "sitting" "tBodyAccJerkStdX" -0.980890655185185
"subject14" "laying" "tBodyAccJerkStdX" -0.971473557058824
"subject14" "walking" "tBodyAccJerkStdX" -0.454497019661017
"subject14" "walking_downstairs" "tBodyAccJerkStdX" 0.0129597549231111
"subject14" "walking_upstairs" "tBodyAccJerkStdX" -0.368780418888889
"subject15" "standing" "tBodyAccJerkStdX" -0.985459068490566
"subject15" "sitting" "tBodyAccJerkStdX" -0.988162333898305
"subject15" "laying" "tBodyAccJerkStdX" -0.981739386805556
"subject15" "walking" "tBodyAccJerkStdX" -0.373217585
"subject15" "walking_downstairs" "tBodyAccJerkStdX" 0.134593836190476
"subject15" "walking_upstairs" "tBodyAccJerkStdX" -0.186944664541667
"subject16" "standing" "tBodyAccJerkStdX" -0.991026497435897
"subject16" "sitting" "tBodyAccJerkStdX" -0.990861134782609
"subject16" "laying" "tBodyAccJerkStdX" -0.988416723857143
"subject16" "walking" "tBodyAccJerkStdX" -0.396223738431373
"subject16" "walking_downstairs" "tBodyAccJerkStdX" -0.101186926595745
"subject16" "walking_upstairs" "tBodyAccJerkStdX" -0.521089140196078
"subject17" "standing" "tBodyAccJerkStdX" -0.99209400551282
"subject17" "sitting" "tBodyAccJerkStdX" -0.99434060296875
"subject17" "laying" "tBodyAccJerkStdX" -0.981489017183098
"subject17" "walking" "tBodyAccJerkStdX" -0.355492635409836
"subject17" "walking_downstairs" "tBodyAccJerkStdX" -0.103436471413043
"subject17" "walking_upstairs" "tBodyAccJerkStdX" -0.292665827083333
"subject19" "standing" "tBodyAccJerkStdX" -0.98479203520548
"subject19" "sitting" "tBodyAccJerkStdX" -0.987043285479452
"subject19" "laying" "tBodyAccJerkStdX" -0.983605223493976
"subject19" "walking" "tBodyAccJerkStdX" 0.110306729315577
"subject19" "walking_downstairs" "tBodyAccJerkStdX" 0.544273037307692
"subject19" "walking_upstairs" "tBodyAccJerkStdX" -0.1742790558
"subject21" "standing" "tBodyAccJerkStdX" -0.977063350112359
"subject21" "sitting" "tBodyAccJerkStdX" -0.989439392235294
"subject21" "laying" "tBodyAccJerkStdX" -0.984826520888889
"subject21" "walking" "tBodyAccJerkStdX" -0.114888873837692
"subject21" "walking_downstairs" "tBodyAccJerkStdX" 0.00214655719111111
"subject21" "walking_upstairs" "tBodyAccJerkStdX" -0.424052014680851
"subject22" "standing" "tBodyAccJerkStdX" -0.975639080634921
"subject22" "sitting" "tBodyAccJerkStdX" -0.981664149193548
"subject22" "laying" "tBodyAccJerkStdX" -0.970355191527778
"subject22" "walking" "tBodyAccJerkStdX" 0.0358787094391304
"subject22" "walking_downstairs" "tBodyAccJerkStdX" 0.0869139849722222
"subject22" "walking_upstairs" "tBodyAccJerkStdX" -0.00853992680952381
"subject23" "standing" "tBodyAccJerkStdX" -0.983141958970588
"subject23" "sitting" "tBodyAccJerkStdX" -0.984561803823529
"subject23" "laying" "tBodyAccJerkStdX" -0.986360446805556
"subject23" "walking" "tBodyAccJerkStdX" -0.229328122305085
"subject23" "walking_downstairs" "tBodyAccJerkStdX" 0.198947061775926
"subject23" "walking_upstairs" "tBodyAccJerkStdX" -0.365398622764706
"subject25" "standing" "tBodyAccJerkStdX" -0.988312658378378
"subject25" "sitting" "tBodyAccJerkStdX" -0.992278621692308
"subject25" "laying" "tBodyAccJerkStdX" -0.973323412328767
"subject25" "walking" "tBodyAccJerkStdX" -0.607620931621622
"subject25" "walking_downstairs" "tBodyAccJerkStdX" -0.501968387931034
"subject25" "walking_upstairs" "tBodyAccJerkStdX" -0.663642746307692
"subject26" "standing" "tBodyAccJerkStdX" -0.990498355
"subject26" "sitting" "tBodyAccJerkStdX" -0.99225839525641
"subject26" "laying" "tBodyAccJerkStdX" -0.989315824868421
"subject26" "walking" "tBodyAccJerkStdX" -0.328452881355932
"subject26" "walking_downstairs" "tBodyAccJerkStdX" -0.128111641206
"subject26" "walking_upstairs" "tBodyAccJerkStdX" -0.290879965872727
"subject27" "standing" "tBodyAccJerkStdX" -0.987628362
"subject27" "sitting" "tBodyAccJerkStdX" -0.990658097857143
"subject27" "laying" "tBodyAccJerkStdX" -0.986471899324324
"subject27" "walking" "tBodyAccJerkStdX" -0.316184021578947
"subject27" "walking_downstairs" "tBodyAccJerkStdX" -0.00358338882727273
"subject27" "walking_upstairs" "tBodyAccJerkStdX" -0.468066189411765
"subject28" "standing" "tBodyAccJerkStdX" -0.968604559620253
"subject28" "sitting" "tBodyAccJerkStdX" -0.976286679444444
"subject28" "laying" "tBodyAccJerkStdX" -0.9801647165
"subject28" "walking" "tBodyAccJerkStdX" -0.335700184259259
"subject28" "walking_downstairs" "tBodyAccJerkStdX" -0.0167652227782609
"subject28" "walking_upstairs" "tBodyAccJerkStdX" -0.312671655921569
"subject29" "standing" "tBodyAccJerkStdX" -0.993652820615385
"subject29" "sitting" "tBodyAccJerkStdX" -0.993525560333333
"subject29" "laying" "tBodyAccJerkStdX" -0.99200598942029
"subject29" "walking" "tBodyAccJerkStdX" -0.22143354279434
"subject29" "walking_downstairs" "tBodyAccJerkStdX" -0.023952574044375
"subject29" "walking_upstairs" "tBodyAccJerkStdX" -0.182365815065306
"subject30" "standing" "tBodyAccJerkStdX" -0.968430745254237
"subject30" "sitting" "tBodyAccJerkStdX" -0.988864577419355
"subject30" "laying" "tBodyAccJerkStdX" -0.977463775571428
"subject30" "walking" "tBodyAccJerkStdX" -0.374400941384615
"subject30" "walking_downstairs" "tBodyAccJerkStdX" -0.226643901120968
"subject30" "walking_upstairs" "tBodyAccJerkStdX" -0.535420203384615
"subject2" "standing" "tBodyAccJerkStdY" -0.97105943962963
"subject2" "sitting" "tBodyAccJerkStdY" -0.977983955434783
"subject2" "laying" "tBodyAccJerkStdY" -0.98317254125
"subject2" "walking" "tBodyAccJerkStdY" -0.0166022362847458
"subject2" "walking_downstairs" "tBodyAccJerkStdY" 0.126828014557447
"subject2" "walking_upstairs" "tBodyAccJerkStdY" -0.185648954220833
"subject4" "standing" "tBodyAccJerkStdY" -0.938354677857143
"subject4" "sitting" "tBodyAccJerkStdY" -0.9445961056
"subject4" "laying" "tBodyAccJerkStdY" -0.942209488333333
"subject4" "walking" "tBodyAccJerkStdY" -0.221165131581667
"subject4" "walking_downstairs" "tBodyAccJerkStdY" -0.146242294857778
"subject4" "walking_upstairs" "tBodyAccJerkStdY" -0.281543175326923
"subject9" "standing" "tBodyAccJerkStdY" -0.963849332888889
"subject9" "sitting" "tBodyAccJerkStdY" -0.9567775448
"subject9" "laying" "tBodyAccJerkStdY" -0.9639966798
"subject9" "walking" "tBodyAccJerkStdY" -0.276929933846154
"subject9" "walking_downstairs" "tBodyAccJerkStdY" -0.3094424725
"subject9" "walking_upstairs" "tBodyAccJerkStdY" -0.586147012244898
"subject10" "standing" "tBodyAccJerkStdY" -0.941328663409091
"subject10" "sitting" "tBodyAccJerkStdY" -0.980756789814815
"subject10" "laying" "tBodyAccJerkStdY" -0.966930793448276
"subject10" "walking" "tBodyAccJerkStdY" 0.0750804952113207
